@id,@lon,@lat,name
367095380,21.4248262,41.9926883,
367095384,21.4258218,41.9926576,
370101630,21.4350310,41.9968115,
370101632,21.4344293,41.9971761,
370101633,21.4346606,41.9968893,
370101634,21.4348531,41.9967793,
370101635,21.4348730,41.9968028,
370101637,21.4350367,41.9967287,
370101639,21.4353453,41.9966694,
370101640,21.4352835,41.9972664,
370101642,21.4348924,41.9974872,
370101646,21.4349999,41.9972620,
371129575,21.4428736,41.9936657,НБРМ
373135407,22.0117020,41.4339027,Stopanska Banka
382650794,22.0111271,41.4367415,
410853055,21.2483872,41.3680430,Stopanska bank
411271292,21.2195044,41.5075945,Komercijalna banka
416030019,21.4552843,41.9881468,Стопанска Банка
416030021,21.4550700,41.9881141,Охридска Банка
419830271,22.0113764,41.4330035,
419830558,22.0126835,41.4334963,
427004837,22.0115928,41.4343311,
444933774,21.4291178,41.9979374,
444933777,21.4293702,41.9977277,
444933787,21.4295350,41.9978372,
444933792,21.4292825,41.9980469,
446270519,21.4609046,42.0016666,
446270523,21.4605916,42.0014923,
446270527,21.4604885,42.0014724,
446270529,21.4604542,42.0015808,
459670407,21.4335756,41.9947783,
459670746,21.4332758,41.9957098,Стопанска банка
462175889,22.6386429,41.4390415,Стопанска Банка
462175890,22.6407801,41.4380957,Комерцијална Банка
470029611,22.3366300,42.2059393,Uni Banka AD
470029615,22.3364377,42.2062310,Stater
470029616,22.3367610,42.2064607,Stopanska Banka AD
478040987,22.0108152,41.4375244,Eurostandard Bank
478040994,22.0105986,41.4373311,Invest Banka
478041066,22.0116542,41.4334167,Komercijalna Banka
480481331,21.4301184,41.9966861,
480481332,21.4301871,41.9967312,
497549485,22.8573300,41.7052800,Стопанска Банка
497549490,22.8567800,41.7064700,Инвест Банка
497549496,22.8551500,41.7057800,Уни Банка
529810132,22.0109697,41.4360158,
529810213,22.0109182,41.4361960,
529810257,22.0108924,41.4363826,
547985718,21.4437565,41.9857966,Тутунска Банка
552769113,21.4447847,42.0311804,
570688738,20.6762264,41.1780334,NLB банка
570689995,20.6758536,41.1778941,Стопанска банка
572376794,20.6749801,41.1776175,Шпаркасе банка
976910876,20.9797522,42.0060454,Комерцијална Банка
1035485797,20.6759569,41.1808100,TTK банка
1272926130,22.5050803,41.8824729,Stopanska Banka
1307183572,21.3833142,42.0050280,Тутунска Банка Карпош 4
1475404508,21.3682515,42.0073792,Stopanska banka
1475404523,21.3681939,42.0063452,Тутунска банка
1475404526,21.3683899,42.0075172,Komercijalna banka
1475404533,21.3650349,42.0069351,Komercijalna banka
1615760049,21.3970663,42.0036469,НЛБ Тутунска Банка
1618605216,21.4244409,41.9916695,Зират Банка
1662291089,21.3366017,41.0302368,
1662291090,21.3363116,41.0301410,
1662291091,21.3362112,41.0303381,
1662291092,21.3362002,41.0301567,
1662291093,21.3362936,41.0299050,
1662291094,21.3365742,41.0298957,
1662291095,21.3364511,41.0302412,
1662291098,21.3364593,41.0303305,
1747986348,21.4327574,41.9876902,
1790709946,22.8820196,41.4126269,
1791486077,22.6383922,41.4384887,Охридска Банка
1851476148,21.4425119,41.9941727,Централен Регистер на РМ
1857986066,21.4606359,42.0026872,
1857986097,21.4604506,42.0029256,
1857986114,21.4609243,42.0027641,
1857986132,21.4607257,42.0028321,
1857986133,21.4601048,42.0028477,
1857986135,21.4603773,42.0027747,
1858907298,21.4298549,41.9968528,
1858907310,21.4300132,41.9965419,
1858907316,21.4297664,41.9968349,
1858907321,21.4297262,41.9967292,
1858907322,21.4302430,41.9965014,
1858907326,21.4299810,41.9969007,
1858907328,21.4301521,41.9966650,
1858907338,21.4300641,41.9968807,
1858907340,21.4297584,41.9965857,
1858907352,21.4301758,41.9964017,
1858907360,21.4303633,41.9966585,
1858907364,21.4300614,41.9966037,
1858907366,21.4298141,41.9965713,
1858907368,21.4301231,41.9967930,
1858907370,21.4302920,41.9963924,
1858907391,21.4301097,41.9965917,
1858907401,21.4300234,41.9965633,
1858907405,21.4301548,41.9966291,
1858907406,21.4302333,41.9964765,
1858907418,21.4303060,41.9966696,
1858907419,21.4300185,41.9969047,
1858907425,21.4305441,41.9963668,
1858907432,21.4299474,41.9965586,
1858907446,21.4297418,41.9966108,
1858907448,21.4305816,41.9964465,
1858907449,21.4305099,41.9963559,
1858907451,21.4296752,41.9966277,
1858907455,21.4298784,41.9965761,
1858907460,21.4305561,41.9963806,
1858907461,21.4302321,41.9965213,
1858907469,21.4297396,41.9968030,
1858907475,21.4299515,41.9969365,
1858907477,21.4304056,41.9963676,
1858907483,21.4297235,41.9967552,
1858969931,21.4295277,41.9968269,
1858969933,21.4295733,41.9968269,
1858969934,21.4299682,41.9963909,
1858969935,21.4293046,41.9968319,
1858969939,21.4296617,41.9964712,
1858969941,21.4296216,41.9967811,
1858969942,21.4299331,41.9962746,
1858969946,21.4294928,41.9969007,
1858969963,21.4296282,41.9964520,
1858969977,21.4296216,41.9968110,
1858969990,21.4298574,41.9962312,
1858969992,21.4293936,41.9966993,
1858997437,21.4298459,41.9960555,
1858997439,21.4297842,41.9959967,
1858997455,21.4297287,41.9961711,
1858997457,21.4296858,41.9960754,
1858997463,21.4295463,41.9960435,
1858997465,21.4296252,41.9961073,
1858997466,21.4297091,41.9960924,
1858997467,21.4296717,41.9961360,
1860283429,21.4641508,42.0029983,Стопанска банка
1860617378,21.4241753,42.0020825,
1860617379,21.4240673,42.0019575,
1860617380,21.4237868,42.0020913,
1860617382,21.4238948,42.0022163,
1866061391,21.4250535,41.9929565,
1866134234,21.4294936,41.9920952,
1866134254,21.4294230,41.9919635,
1866134303,21.4296284,41.9920553,
1866134327,21.4295578,41.9919236,
1867248476,21.4345978,41.9971877,
1867248485,21.4349414,41.9968836,
1867248490,21.4349216,41.9968603,
1867248504,21.4352308,41.9966646,
1867248511,21.4345149,41.9970222,
1867248518,21.4347828,41.9969728,
1927094742,22.1938464,41.7374614,Халк Банк
2005843058,21.4294208,41.9960619,
2005843072,21.4295465,41.9961572,
2005843081,21.4294714,41.9960555,
2005843140,21.4295502,41.9960467,
2005843195,21.4296752,41.9962369,
2005843199,21.4294503,41.9960380,
2005843211,21.4294606,41.9961891,
2051142599,22.0914487,41.4869352,Комерцијална Банка
2077741867,22.8831147,41.7594617,Комерцијална Банка АД Скопје
2199799348,21.2039396,41.2168520,
2199799349,21.2041107,41.2170633,
2199799351,21.2041180,41.2168555,
2199799353,21.2039323,41.2170597,
2199825149,21.2037164,41.2194259,
2199825154,21.2038746,41.2194295,
2199825155,21.2038700,41.2195455,
2199825157,21.2037118,41.2195419,
2276499906,21.4100251,41.9947725,Комерцијална Банка
2292145450,21.5497178,41.3454306,
2292145451,21.5495668,41.3453544,
2292145453,21.5494873,41.3454431,
2292145454,21.5496384,41.3455194,
2320912377,22.4119298,41.9177726,Silk Road Bank
2320912435,22.4112056,41.9172378,Sparkasse
2320912446,22.4104896,41.9184452,Стопанска Банка
2323202922,22.5028028,41.1400170,
2323204659,22.5052597,41.1399746,
2323204662,22.5032185,41.1390636,
2323204663,22.5033258,41.1389707,
2323204665,22.5034519,41.1387889,
2323204666,22.5017218,41.1403079,
2323204668,22.5040929,41.1402049,
2329337936,21.2493385,41.3679906,Uni bank
2335157628,21.4609886,42.0013890,
2335276894,21.3576640,42.0064278,Шпаркасе
2335276905,21.3596919,42.0065755,Охридска Банка-Ѓорче Петров
2335304828,21.4400132,41.9818419,Шпаркасе
2335304834,21.4452794,42.0136832,Шпаркасе
2336993178,21.4601781,42.0029987,
2356318747,20.9615868,41.5125070,
2356318761,20.9614518,41.5123600,
2356318782,20.9615889,41.5123611,
2356318883,20.9614484,41.5125999,
2357239883,20.9615871,41.5124889,
2365723919,21.4998637,41.9967666,Комерцијална Банка
